GCF_000005825.2	Bacillus pseudofirmus OF4 (firmicutes)
GCF_000010785.1	Hydrogenobacter thermophilus TK-6 (aquificales)
GCF_000010825.1	Acetobacter pasteurianus IFO 3283-01 (a-proteobacteria)
GCF_000010985.1	Deferribacter desulfuricans SSM1 (bacteria)
GCF_000011025.1	Rothia mucilaginosa DY-18 (high GC Gram+)
GCF_000011065.1	Bacteroides thetaiotaomicron VPI-5482 (CFB group bacteria)
GCF_000011105.1	Pyrococcus horikoshii OT3 (euryarchaeotes)
GCF_000011185.1	Thermoplasma volcanium GSS1 (archaea)
GCF_000011205.1	Sulfurisphaera tokodaii str. 7 (crenarchaeotes)
GCF_000011225.1	Mycoplasma penetrans HF-2 (mycoplasmas)
GCF_000011245.1	Oceanobacillus iheyensis HTE831 (firmicutes)
GCF_000011305.1	Corynebacterium efficiens YS-314 (high GC Gram+)
GCF_000011325.1	Corynebacterium glutamicum ATCC 13032 (high GC Gram+)
GCF_000011345.1	Thermosynechococcus elongatus BP-1 (cyanobacteria)
GCF_000011365.1	Bradyrhizobium diazoefficiens USDA 110 (a-proteobacteria)
GCF_000011385.1	Gloeobacter violaceus PCC 7421 (cyanobacteria)
GCF_000011445.1	Mycoplasma mycoides subsp. mycoides SC str. PG1 (mycoplasmas)
GCF_000011465.1	Prochlorococcus marinus subsp. pastoris str. CCMP1986 (cyanobacteria)
GCF_000011545.1	Burkholderia pseudomallei K96243 (b-proteobacteria)
GCF_000011645.1	Bacillus licheniformis DSM 13 = ATCC 14580 (firmicutes)
GCF_000011685.1	Gluconobacter oxydans 621H (a-proteobacteria)
GCF_000011705.1	Burkholderia mallei ATCC 23344 (b-proteobacteria)
GCF_000011745.1	Candidatus Blochmannia pennsylvanicus str. BPEN (enterobacteria)
GCF_000011805.1	Aliivibrio fischeri ES114 (g-proteobacteria)
GCF_000011905.1	Dehalococcoides mccartyi 195 (GNS bacteria)
GCF_000011965.2	Ruegeria pomeroyi DSS-3 (a-proteobacteria)
GCF_000011985.1	Lactobacillus acidophilus NCFM (firmicutes)
GCF_000012005.1	Shigella dysenteriae Sd197 (enterobacteria)
GCF_000012085.2	Borrelia turicatae 91E135 (spirochetes)
GCF_000012145.1	Rickettsia felis URRWXCal2 (a-proteobacteria)
GCF_000012225.1	Aster yellows witches'-broom phytoplasma AYWB (mycoplasmas)
GCF_000012245.1	Pseudomonas syringae pv. syringae B728a (g-proteobacteria)
GCF_000012285.1	Sulfolobus acidocaldarius DSM 639 (crenarchaeotes)
GCF_000012305.1	Psychrobacter arcticus 273-4 (g-proteobacteria)
GCF_000012325.1	Colwellia psychrerythraea 34H (g-proteobacteria)
GCF_000012345.1	Candidatus Pelagibacter ubique HTCC1062 (a-proteobacteria)
GCF_000012385.1	Rickettsia bellii RML369-C (a-proteobacteria)
GCF_000012405.1	Thermobifida fusca YX (high GC Gram+)
GCF_000012425.1	Dechloromonas aromatica RCB (b-proteobacteria)
GCF_000012465.1	Prochlorococcus marinus str. NATL2A (cyanobacteria)
GCF_000012485.1	Pelodictyon luteolum DSM 273 (green sulfur bacteria)
GCF_000012505.1	Synechococcus sp. CC9902 (cyanobacteria)
GCF_000012545.1	Methanosphaera stadtmanae DSM 3091 (euryarchaeotes)
GCF_000012565.1	Ehrlichia canis str. Jake (a-proteobacteria)
GCF_000012585.1	Chlorobium chlorochromatii CaD3 (epibiont of the phototrophic consortium "Chlorochromatium aggregatum")
GCF_000012605.1	Hydrogenovibrio crunogenus XCL-2 (g-proteobacteria)
GCF_000012645.1	Prochlorococcus marinus str. MIT 9312 (cyanobacteria)
GCF_000012665.1	Desulfovibrio alaskensis G20 (d-proteobacteria)
GCF_000012685.1	Myxococcus xanthus DK 1622 (d-proteobacteria)
GCF_000012725.1	Nitrobacter winogradskyi Nb-255 (a-proteobacteria)
GCF_000012745.1	Thiobacillus denitrificans ATCC 25259 (b-proteobacteria)
GCF_000012765.1	Mycoplasma capricolum subsp. capricolum ATCC 27343 (mycoplasmas)
GCF_000012805.1	Nitrosococcus oceani ATCC 19707 (g-proteobacteria)
GCF_000012825.1	Bacteroides vulgatus ATCC 8482 (CFB group bacteria)
GCF_000012845.1	Parabacteroides distasonis ATCC 8503 (CFB group bacteria)
GCF_000012865.1	Carboxydothermus hydrogenoformans Z-2901 (firmicutes)
GCF_000012885.1	Pelobacter carbinolicus DSM 2380 (d-proteobacteria)
GCF_000012905.2	Rhodobacter sphaeroides 2.4.1 (a-proteobacteria)
GCF_000012925.1	Geobacter metallireducens GS-15 (d-proteobacteria)
GCF_000012965.1	Sulfurimonas denitrificans DSM 1251 (e-proteobacteria)
GCF_000012985.1	Hahella chejuensis KCTC 2396 (g-proteobacteria)
GCF_000013005.1	Erythrobacter litoralis HTCC2594 (a-proteobacteria)
GCF_000013025.1	Hyphomonas neptunium ATCC 15444 (a-proteobacteria)
GCF_000013045.1	Salinibacter ruber DSM 13855 (CFB group bacteria)
GCF_000013085.1	Rhodospirillum rubrum ATCC 11170 (a-proteobacteria)
GCF_000013105.1	Moorella thermoacetica ATCC 39073 (firmicutes)
GCF_000013125.1	Anaplasma phagocytophilum str. HZ (agent of human granulocytic ehrlichiosis)
GCF_000013145.1	Ehrlichia chaffeensis str. Arkansas (a-proteobacteria)
GCF_000013165.1	Neorickettsia sennetsu str. Miyayama (a-proteobacteria)
GCF_000013185.1	Baumannia cicadellinicola str. Hc (Homalodisca coagulata) (g-proteobacteria)
GCF_000013205.1	Synechococcus sp. JA-3-3Ab (cyanobacteria)
GCF_000013225.1	Synechococcus sp. JA-2-3B'a(2-13) (cyanobacteria)
GCF_000013285.1	Clostridium perfringens ATCC 13124 (firmicutes)
GCF_000013325.1	Novosphingobium aromaticivorans DSM 12444 (a-proteobacteria)
GCF_000013365.1	Rhodopseudomonas palustris HaA2 (a-proteobacteria)
GCF_000013405.1	Syntrophus aciditrophicus SB (d-proteobacteria)
GCF_000013425.1	Staphylococcus aureus subsp. aureus NCTC 8325 (firmicutes)
GCF_000013445.1	Methanospirillum hungatei JF-1 (euryarchaeotes)
GCF_000013565.1	Jannaschia sp. CCS1 (a-proteobacteria)
GCF_000013625.1	Janthinobacterium sp. Marseille (b-proteobacteria)
GCF_000013665.1	Saccharophagus degradans 2-40 (g-proteobacteria)
GCF_000013705.1	Methylobacillus flagellatus KT (b-proteobacteria)
GCF_000013725.1	Methanococcoides burtonii DSM 6242 (euryarchaeotes)
GCF_000013745.1	Rhodopseudomonas palustris BisB18 (a-proteobacteria)
GCF_000013765.1	Shewanella denitrificans OS217 (g-proteobacteria)
GCF_000013865.1	Polaromonas sp. JS666 (b-proteobacteria)
GCF_000013885.1	Nitrobacter hamburgensis X14 (a-proteobacteria)
GCF_000013945.1	Leptospira borgpetersenii serovar Hardjo-bovis str. L550 (bacteria)
GCF_000013985.1	Sphingopyxis alaskensis RB2256 (a-proteobacteria)
GCF_000014005.1	Candidatus Koribacter versatilis Ellin345 (bacteria)
GCF_000014025.1	Arcobacter butzleri RM4018 (e-proteobacteria)
GCF_000014045.1	Roseobacter denitrificans OCh 114 (a-proteobacteria)
GCF_000014125.1	Clostridium novyi NT (firmicutes)
GCF_000014145.1	Cytophaga hutchinsonii ATCC 33406 (CFB group bacteria)
GCF_000014185.1	Rubrobacter xylanophilus DSM 9941 (actinobacteria)
GCF_000014205.1	Streptococcus sanguinis SK36 (firmicutes)
GCF_000014225.1	Pseudoalteromonas atlantica T6c (g-proteobacteria)
GCF_000014245.1	Chelativorans sp. BNC1 (a-proteobacteria)
GCF_000014265.1	Trichodesmium erythraeum IMS101 (cyanobacteria)
GCF_000014285.1	Granulibacter bethesdensis CGDNIH1 (a-proteobacteria)
GCF_000014345.1	Rickettsia canadensis str. McKiel (a-proteobacteria)
GCF_000014385.1	Oenococcus oeni PSU-1 (firmicutes)
GCF_000014425.1	Lactobacillus gasseri ATCC 33323 = JCM 1131 (firmicutes)
GCF_000014465.1	Lactobacillus brevis ATCC 367 (firmicutes)
GCF_000014505.1	Pediococcus pentosaceus ATCC 25745 (firmicutes)
GCF_000014525.1	Lactobacillus paracasei ATCC 334 (firmicutes)
GCF_000014565.1	Rhodococcus jostii RHA1 (high GC Gram+)
GCF_000014585.1	Synechococcus sp. CC9311 (cyanobacteria)
GCF_000014705.1	Shewanella frigidimarina NCIMB 400 (g-proteobacteria)
GCF_000014725.1	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311 (firmicutes)
GCF_000014745.1	Maricaulis maris MCS10 (a-proteobacteria)
GCF_000014765.1	Nitrosomonas eutropha C91 (b-proteobacteria)
GCF_000014785.1	Alkalilimnicola ehrlichii MLHE-1 (g-proteobacteria)
GCF_000014805.1	Aeromonas hydrophila subsp. hydrophila ATCC 7966 (g-proteobacteria)
GCF_000014825.1	Rhodopseudomonas palustris BisA53 (a-proteobacteria)
GCF_000014865.1	Magnetococcus marinus MC-1 (a-proteobacteria)
GCF_000014885.1	Shewanella piezotolerans WP3 (g-proteobacteria)
GCF_000014905.1	Candidatus Solibacter usitatus Ellin6076 (bacteria)
GCF_000014965.1	Syntrophobacter fumaroxidans MPOB (syntrophic propionate-oxidizing bacterium DSM 10017)
GCF_000015005.1	Mycolicibacterium smegmatis MC2 155 (high GC Gram+)
GCF_000015025.1	Acidothermus cellulolyticus 11B (high GC Gram+)
GCF_000015045.1	Pelobacter propionicus DSM 2379 (d-proteobacteria)
GCF_000015105.1	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica) (g-proteobacteria)
GCF_000015125.1	Chlorobium phaeobacteroides DSM 266 (green sulfur bacteria)
GCF_000015145.1	Hyperthermus butylicus DSM 5456 (crenarchaeotes)
GCF_000015205.1	Pyrobaculum islandicum DSM 4184 (crenarchaeotes)
GCF_000015225.1	Thermofilum pendens Hrk 5 (crenarchaeotes)
GCF_000015245.1	Shewanella amazonensis SB2B (g-proteobacteria)
GCF_000015265.1	Nocardioides sp. JS614 (high GC Gram+)
GCF_000015285.1	Psychromonas ingrahamii 37 (g-proteobacteria)
GCF_000015305.1	Mycolicibacterium vanbaalenii PYR-1 (high GC Gram+)
GCF_000015345.1	Dichelobacter nodosus VCS1703A (g-proteobacteria)
GCF_000015405.1	Mycobacterium sp. KMS (high GC Gram+)
GCF_000015445.1	Bartonella bacilliformis KC583 (a-proteobacteria)
GCF_000015505.1	Polaromonas naphthalenivorans CJ2 (b-proteobacteria)
GCF_000015565.1	Verminephrobacter eiseniae EF01-2 (b-proteobacteria)
GCF_000015585.1	Halorhodospira halophila SL1 (g-proteobacteria)
GCF_000015645.1	Prochlorococcus marinus str. AS9601 (cyanobacteria)
GCF_000015665.1	Prochlorococcus marinus str. MIT 9515 (cyanobacteria)
GCF_000015725.1	Methylibium petroleiphilum PM1 (b-proteobacteria)
GCF_000015745.1	Geobacillus thermodenitrificans NG80-2 (firmicutes)
GCF_000015765.1	Methanocorpusculum labreanum Z (euryarchaeotes)
GCF_000015825.1	Methanoculleus marisnigri JR1 (euryarchaeotes)
GCF_000015865.1	Hungateiclostridium thermocellum ATCC 27405 (firmicutes)
GCF_000015885.1	Actinobacillus pleuropneumoniae serovar 5b str. L20 (g-proteobacteria)
GCF_000015945.1	Staphylothermus marinus F1 (crenarchaeotes)
GCF_000016065.1	Shewanella loihica PV-4 (g-proteobacteria)
GCF_000016085.1	Chlorobium phaeovibrioides DSM 265 (green sulfur bacteria)
GCF_000016165.1	Desulfotomaculum reducens MI-1 (firmicutes)
GCF_000016185.1	Rhodospirillum centenum SW (a-proteobacteria)
GCF_000016285.1	Agrobacterium vitis S4 (a-proteobacteria)
GCF_000016325.1	Enterobacter sp. 638 (enterobacteria)
GCF_000016405.1	Rhodobacter sphaeroides ATCC 17025 (a-proteobacteria)
GCF_000016425.1	Salinispora tropica CNB-440 (high GC Gram+)
GCF_000016525.1	Methanobrevibacter smithii ATCC 35061 (euryarchaeotes)
GCF_000016545.1	Caldicellulosiruptor saccharolyticus DSM 8903 (firmicutes)
GCF_000016565.1	Pseudomonas mendocina ymp (g-proteobacteria)
GCF_000016605.1	Metallosphaera sedula DSM 5348 (crenarchaeotes)
GCF_000016645.1	Flavobacterium johnsoniae UW101 (CFB group bacteria)
GCF_000016665.1	Roseiflexus sp. RS-1 (GNS bacteria)
GCF_000016745.1	Geobacter uraniireducens Rf4 (d-proteobacteria)
GCF_000016765.1	Sphingomonas wittichii RW1 (a-proteobacteria)
GCF_000016785.1	Thermotoga petrophila RKU-1 (thermotogales)
GCF_000016825.1	Limosilactobacillus reuteri subsp. reuteri (firmicutes)
GCF_000016985.1	Alkaliphilus metalliredigens QYMF (firmicutes)
GCF_000017005.1	Streptococcus gordonii str. Challis substr. CH1 (firmicutes)
GCF_000017045.1	Clostridium botulinum A str. Hall (firmicutes)
GCF_000017105.1	Coxiella burnetii Dugway 5J108-111 (g-proteobacteria)
GCF_000017145.1	Sinorhizobium medicae WSM419 (a-proteobacteria)
GCF_000017165.1	Methanococcus vannielii SB (euryarchaeotes)
GCF_000017185.1	Methanococcus aeolicus Nankai-3 (euryarchaeotes)
GCF_000017225.1	Methanococcus maripaludis C7 (euryarchaeotes)
GCF_000017245.1	Actinobacillus succinogenes 130Z (g-proteobacteria)
GCF_000017265.1	Phenylobacterium zucineum HLK1 (a-proteobacteria)
GCF_000017305.1	Kineococcus radiotolerans SRS30216 = ATCC BAA-149 (high GC Gram+)
GCF_000017405.1	Ochrobactrum anthropi ATCC 49188 (a-proteobacteria)
GCF_000017425.1	Bacillus cytotoxicus NVH 391-98 (firmicutes)
GCF_000017505.1	Anaeromyxobacter sp. Fw109-5 (d-proteobacteria)
GCF_000017545.1	Fervidobacterium nodosum Rt17-B1 (thermotogales)
GCF_000017565.1	Parvibaculum lavamentivorans DS-1 (a-proteobacteria)
GCF_000017585.1	Campylobacter hominis ATCC BAA-381 (e-proteobacteria)
GCF_000017625.1	Methanoregula boonei 6A8 (euryarchaeotes)
GCF_000017685.1	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)' (bacteria)
GCF_000017705.1	Vibrio campbellii ATCC BAA-1116 (g-proteobacteria)
GCF_000017805.1	Roseiflexus castenholzii DSM 13941 (GNS bacteria)
GCF_000017845.1	Crocosphaera subtropica ATCC 51142 (cyanobacteria)
GCF_000017865.1	Pseudothermotoga lettingae TMO (thermotogales)
GCF_000017945.1	Ignicoccus hospitalis KIN4/I (crenarchaeotes)
GCF_000018025.1	Shewanella sediminis HAW-EB3 (g-proteobacteria)
GCF_000018105.1	Acaryochloris marina MBIC11017 (cyanobacteria)
GCF_000018145.1	Dinoroseobacter shibae DFL 12 = DSM 16493 (a-proteobacteria)
GCF_000018205.1	Rickettsia akari str. Hartford (agent of rickettsialpox, a-proteobacteria)
GCF_000018265.1	Salinispora arenicola CNS-205 (high GC Gram+)
GCF_000018285.1	Shewanella pealeana ATCC 700345 (g-proteobacteria)
GCF_000018305.1	Caldivirga maquilingensis IC-167 (crenarchaeotes)
GCF_000018325.1	Alkaliphilus oremlandii OhILAs (firmicutes)
GCF_000018365.1	Thermococcus onnurineus NA1 (euryarchaeotes)
GCF_000018405.1	Desulfococcus oleovorans Hxd3 (d-proteobacteria)
GCF_000018425.1	Candidatus Desulforudis audaxviator MP104C (firmicutes)
GCF_000018545.1	Sinorhizobium fredii NGR234 (a-proteobacteria)
GCF_000018605.1	Petrotoga mobilis SJ95 (bacteria)
GCF_000018665.1	Delftia acidovorans SPH-1 (b-proteobacteria)
GCF_000018685.1	Lachnoclostridium phytofermentans ISDg (firmicutes)
GCF_000018785.1	Acholeplasma laidlawii PG-8A (mycoplasmas)
GCF_000018865.1	Chloroflexus aurantiacus J-10-fl (GNS bacteria)
GCF_000018885.1	Renibacterium salmoninarum ATCC 33209 (high GC Gram+)
GCF_000018945.1	Thermotoga neapolitana DSM 4359 (thermotogales)
GCF_000019165.1	Heliobacterium modesticaldum Ice1 (firmicutes)
GCF_000019225.1	Cellvibrio japonicus Ueda107 (g-proteobacteria)
GCF_000019285.1	Francisella philomiragia subsp. philomiragia ATCC 25017 (g-proteobacteria)
GCF_000019345.1	Ureaplasma parvum serovar 3 str. ATCC 27815 (mycoplasmas)
GCF_000019365.1	Methylobacterium sp. 4-46 (a-proteobacteria)
GCF_000019405.1	Histophilus somni 2336 (g-proteobacteria)
GCF_000019485.1	Synechococcus sp. PCC 7002 (cyanobacteria)
GCF_000019525.1	Shewanella woodyi ATCC 51908 (g-proteobacteria)
GCF_000019665.1	Methylacidiphilum infernorum V4 (verrucomicrobia)
GCF_000019685.1	Borrelia duttonii Ly (spirochetes)
GCF_000019725.1	Methylobacterium radiotolerans JCM 2831 (a-proteobacteria)
GCF_000019745.1	Polynucleobacter necessarius STIR1 (b-proteobacteria)
GCF_000019785.1	Leptothrix cholodnii SP-6 (b-proteobacteria)
GCF_000019845.1	Beijerinckia indica subsp. indica ATCC 9039 (a-proteobacteria)
GCF_000019945.1	Methylorubrum populi BJ001 (a-proteobacteria)
GCF_000019965.1	Opitutus terrae PB90-1 (verrucomicrobia)
GCF_000020005.1	Natranaerobius thermophilus JW/NM-WN-LF (firmicutes)
GCF_000020025.1	Nostoc punctiforme PCC 73102 (cyanobacteria)
GCF_000020065.1	Mycoplasma arthritidis 158L3-1 (mycoplasmas)
GCF_000020145.1	Elusimicrobium minutum Pei191 (bacteria)
GCF_000020165.1	Clostridium botulinum B str. Eklund 17B (NRP) (firmicutes)
GCF_000020205.1	Ralstonia pickettii 12J (b-proteobacteria)
GCF_000020305.1	Anaplasma marginale str. Florida (a-proteobacteria)
GCF_000020365.1	Desulfobacterium autotrophicum HRM2 (d-proteobacteria)
GCF_000020385.1	Geobacter lovleyi SZ (d-proteobacteria)
GCF_000020485.1	Halothermothrix orenii H 168 (firmicutes)
GCF_000020505.1	Chlorobaculum parvum NCIB 8327 (green sulfur bacteria)
GCF_000020525.1	Chloroherpeton thalassium ATCC 35110 (green sulfur bacteria)
GCF_000020545.1	Chlorobium phaeobacteroides BS1 (green sulfur bacteria)
GCF_000020565.1	Candidatus Amoebophilus asiaticus 5a2 (CFB group bacteria)
GCF_000020625.1	Prosthecochloris aestuarii DSM 271 (green sulfur bacteria)
GCF_000020645.1	Pelodictyon phaeoclathratiforme BU-1 (green sulfur bacteria)
GCF_000020685.1	Deinococcus deserti VCD115 (bacteria)
GCF_000020725.1	Geobacter bemidjiensis Bem (d-proteobacteria)
GCF_000020785.1	Hydrogenobaculum sp. Y04AAS1 (aquificales)
GCF_000020905.1	Desulfurococcus amylolyticus 1221n (crenarchaeotes)
GCF_000020945.1	Coprothermobacter proteolyticus DSM 5265 (bacteria)
GCF_000020965.1	Dictyoglomus thermophilum H-6-12 (bacteria)
GCF_000020985.1	Thermodesulfovibrio yellowstonii DSM 11347 (bacteria)
GCF_000021025.1	Laribacter hongkongensis HLHK9 (b-proteobacteria)
GCF_000021045.1	Azotobacter vinelandii DJ (g-proteobacteria)
GCF_000021285.1	Thermosipho africanus TCF52B (thermotogales)
